Drug Name,Strength / Composition,Indication,Date of Approval,Firm Name
2-Deoxy-D-Glucose,2 Deoxy D Glucose 98.0000 %,NA,27-DEC-2021,Virdev Intermediates Pvt. Ltd.
2-Deoxy-D-Glucose,2 Deoxy D Glucose 97.0000 %,NA,24-NOV-2021,ANTHEM BIOSCIENCES PVT LTD
2-Deoxy-D-Glucose,2 Deoxy D Glucose 100.0000 %,NA,31-AUG-2021,Optrix Laboratories Private  Limited
2-Deoxy-D-Glucose,2 Deoxy D Glucose 3.0000 Gram (G),NA,25-OCT-2021,EMNAR PHARMA PRIVATE LIMITED
2-Deoxy-D-Glucose,2-Deoxy-D-Glucose 2.3400 Gram (G),Acute Treatment Of Moderate To Severe Covid-19 Patients.,10-FEB-2022,BDR Pharmaceuticals International Pvt Ltd
2-Deoxy-D-Glucose,2 Deoxy D Glucose 100.0000 %,NA,03-NOV-2021,M/s Adley Lab Limited
2-Deoxy-D-Glucose,2 Deoxy D Glucose 100.0000 %,NA,31-AUG-2021,Bajaj Healthcare Ltd
2-Deoxy-D-Glucose,2-Deoxy-D-Glucose 2.34 G 2.3400 Gram (G),Permission For Restricted Emergency Use Authorization For 2-Deoxy-D-Glucose To Offer Potential Benefit To The Patients With Moderate To Severe Covid- 19 Disease,31-AUG-2021,Optimus Pharma Private Limited
2-Deoxy-D-Glucose,Bulk Drug 4.0000 Gram (G),NA,31-AUG-2021,Shilpa Medicare Limited
2-Deoxy-D-Glucose,2-Deoxy-D-Glucose 5.85 G 5.8500 Gram (G),Permission For Restricted Emergency Use Authorization For 2-Deoxy-D-Glucose To Offer Potential Benefit To The Patients With Moderate To Severe Covid- 19 Disease,31-AUG-2021,Optimus Pharma Private Limited
2-Deoxy-D-Glucose,Total Impurity 1.0000 %W/W,NA,23-JUL-2021,Dr. Reddys Laboratories Limited
2-Deoxy-D-Glucose,2 Deoxy D Glucose 2.3400 Not Applicable (Na),NA,25-OCT-2021,M/s. MSN Life Sciences Private Limited
2-Deoxy-D-Glucose,2 Deoxy D Glucose 2.3400 Gram (G),NA,07-DEC-2021,HONOUR LAB LIMITED
2-Deoxy-D-Glucose,2-Deoxy-D-Glucose 2.3400 Gram (G),Indicated As An Adjunct Therapy Only In Moderate To Severe Covid-19 Patients.,07-DEC-2021,MSN Laboratories Private Limited
2-Deoxy-D-Glucose,2 Deoxy D Glucose 100.0000 %,NA,06-OCT-2021,ANTHEM BIOSCIENCES PVT LTD
2-Deoxy-D-Glucose,2deoxydglucose 97.0000 Weight/Weight(W/W),NA,22-DEC-2021,Aurore Life Sciences Private Limited
2-Deoxy-D-Glucose,2 Deoxy D Glucose 2.3400 Gram (G),NA,03-NOV-2021,NOSCH LABS PVT LTD
2-Deoxy-D-Glucose 2.34 G,2 Deoxy D Glucose 100.0000 %,NA,31-AUG-2021,Optimus Pharma Private Limited
"2-Deoxy-D-Glucose, 2-Deoxy-D-Glucose 2.34 G, 2-Deoxy-D-Glucose",NA,NA,31-AUG-2021,Optimus Pharma Private Limited
2-Deoxy-D-Glucose  Oral Powder,2-Deoxy-D-Glucose Bulk 2.3400 Gram (G),2 Dg Is Indicated As An Adjunct Therapy (Along With Standard Of Care)In The Acute Treatment Of Patients With Moderate To Severe Covid-19 Patients,22-DEC-2021,Copmed Pharmaceuticals Pvt. Ltd. Unit-III
2-Deoxy-D-Glucose  Oral Powder,2-Deoxy-D-Glucose Bulk 5.8500 Gram (G),2 Dg Is Indicated As An Adjunct Therapy (Along With Standard Of Care)In The Acute Treatment Of Patients With Moderate To Severe Covid-19 Patients,22-DEC-2021,Copmed Pharmaceuticals Pvt. Ltd. Unit-III
2-Deoxy-D-Glucose Oral Powder,2-Deoxy-D-Glucose 2.3400 Gram (G),Acute Treatment Of Moderate To Severe Covid-19 Patients,31-AUG-2021,Shilpa Therapeutics Pvt Ltd
2-Deoxy-D-Glucose Oral Powder 2.34g & 5.85g,2-Deoxy-D-Glucose 100.0000 %,As An Adjunct Therapy Only In Moderate To Severe Covid-19 Patients,31-AUG-2021,Bajaj Healthcare Ltd
2-Deoxy-D-Glucose Oral Powder 2.34 G/5.85 G,2-Deoxy-D-Glucose Oral Powder 2.34 G 2.3400 Gram (G),2-Dg Is Indicated As An Adjunct Therapy Only In Moderate To Severe Covid-19 Patients.,01-NOV-2021,Hetero Labs Limited
2-Deoxy-D-Glucose Oral Powder 2.34 G/5.85 G,2-Deoxy-D-Glucose Oral Powder 5.85 G 5.8500 Gram (G),2-Dg Is Indicated As An Adjunct Therapy Only In Moderate To Severe Covid-19 Patients.,01-NOV-2021,Hetero Labs Limited
2-Deoxy-D-Glucose Oral Powder 2.34 G And 5.85 G,2-Deoxy-D-Glucose 5.8500 Gram (G),"Adjunct Therapy In The Acute Treatment Of Patients With Moderate To Severe Covid 19 Disease, In The Hospital Setting",31-AUG-2021,LAURUS LABS LIMITED
2-Deoxy-D-Glucose Oral Powder 2.34 G And 5.85 G,2-Deoxy-D-Glucose 2.3400 Gram (G),"Adjunct Therapy In The Acute Treatment Of Patients With Moderate To Severe Covid 19 Disease, In The Hospital Setting",31-AUG-2021,LAURUS LABS LIMITED
2-Deoxy-D-Glucose Oral Powder In Sachet,2-Deoxy-D-Glucose 2.3400 Gram (G),Indicated As An Adjunct Therapy Only In Moderate To Severe Covid-19 Patients.,25-OCT-2021,MSN Laboratories Private Limited
2-Deoxy-D-Glucose Powder Sachet,2-Deoxy-D-Glucose 5.8500 Gram (G),As An Adjunct Therapy Only In Moderate To Severe Covid-19 Patients,24-NOV-2021,Theon Pharmaceuticals Ltd
2-Deoxy-D-Glucose Powder Sachet,2-Deoxy-D-Glucose 2.3400 Gram (G),As An Adjunct Therapy Only In Moderate To Severe Covid-19 Patients,24-NOV-2021,Theon Pharmaceuticals Ltd
2-Dg,2 Deoxy D Glucose 100.0000 Weight/Weight(W/W),NA,15-NOV-2021,JPR Labs Private Limited 
2-Phenoxyethanol (2pe),NA,NA,09-AUG-2021,Bharat Biotech International Limited
2- Phenoxyethanol (Applicable Only For 5 Dose Presentation),NA,NA,16-DEC-2022,Biological E - Shameerpet
2-Phenoxyethanol (As Preservative),NA,NA,29-JAN-2020,Biological E - Shameerpet
2-Pyrrolidone acetamide,,Indicated in treatment for behavior and psychotic problems in old age and mental retardation in children,1977-December,"Uni-UCB, Bombay"
2-Pyrrolidone acetamide,"Each capsule contains; 2-Pyrrolidone acetamide-400mg, Each mL contains; 2-Pyrrolidone acetamide-200mg",To be used by physicians and in hospitals only,1978,"Uni-UCB, Bombay"
2-Sulphanilamide-5-methyl pyrimidine,0.5 g tablets,Sulpha drug,1970- January,"Merck, Bombay"
2-thymyloxy methyl Glyoxalidine Hcl,0.05%,Vasoconstrictor.,1961- November,"Franco India, Bombay"
2-thymyloxy methyl Glyoxalidine Hcl,"Each 100 ml contains; 2-thymyl-oxy-methyl glyoxalidine hydrochloride-0.05, buffered aq. Sol. Vehicle q.s",,1971- January,"Franco Indian, Bombay"
2 Vinylquinole,NA,NA,04-JUN-2020,Pharmazz India Private Limited
"3,5 - Dinitro-O-toluamide",,,1972-January,"Dow Chemical, New Delhi"
"3 chamber bags of glucose solution, amino acid solution & fat emulsion for .v infusion",,By RMP- for parenteral nutritions where oral or enteral nutrition is impossible or impracticable.,2005-March,Kabi pharma ltd.
3-Methyl pyrantel tartrate,,Anthelmintic,1970-April,"Pfizer P Ltd, Bombay"
3-Methyl Pyrantel tartrate,100ml of the oral solution contains; 4gm of pyrantel tartrate (4%).,,1970- May,"Pfizer P Ltd, Bombay"
"3-Phenylazo-2,6-diaminopyridine",,,1969- May,"Ethnor ltd., Bombay"
3 tablets of artesunate 100mg + 3 tablets of Artesuante 50mg & 2 tablets of FDC of Pyrimethamine 25mg + Sulphadoxine 500mg combipack,,Additional strength,28.05.10,
3-(Trimethoxysilyl)Propyl Dimethyl Octadecyl Ammonium Chloride+Benzalkonium Chloride+Didecyl Dimethyl Ammonium Chloride,"3-(Trimethoxysilyl)Propyl Dimethyl Octadecyl Ammonium Chloride 0.7500 %W/W,Benzalkonium Chloride 0.6400 %W/W,Didecyl Dimethyl Ammonium Chloride 0.6400 %W/W,Alcohols, C10-16, Ethoxylated Propoxylated 1.5000 %W/W,Di-Propylene Glycol 0.7500 %W/W,Frangrance 0.2000 %W/W,Purified Water 95.2000 %W/W","Surface Disinfectant,Hand Sanitizer",10-MAY-2023,ADIRO LABS PRIVATE LIMITED
"( 4r,5s,6r)-6-(Hydroxymethyl)Oxane-2,4,5-Triol ( Or) 2-Deoxy-D-Glucose",2 Deoxy Dglucose 5.8500 Gram (G),NA,31-AUG-2021,AKTINOS PHARMA PVT LTD
5-Fluorouracil,Each 5ml vial contains; 5-Fluorouracil-250mg,Caution,1979-January,"Amee Pharma, Ahmedabad"
5-Fluorouracil,Each capsule contains; 5-Fluorourail-250mg,,1977-November,Roche
5-Fluorouracil,5-Fluorouracil-250mg,,1977-December,Biochem
62-71-3 (Drug Substance A),NA,NA,18-SEP-2019,Zydus Lifesciences Limited
