Drug Name,Strength / Composition,Indication,Date of Approval,Firm Name
Dapagliflozin+Metformin Hcl (As Extended Release)+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 100.0000 Milligram (Mg),Metformin Hydrochloride (As Extended Release) 1000.0000 Milligram (Mg)",It Is Used In The Treatment Of Patient With Type 2 Diabetes Mellitus T2dm,03-FEB-2023,Logos Pharma
Dapagliflozin+Metformin Hcl (As Extended Release)+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 50.0000 Milligram (Mg),Metformin Hydrochloride (As Extended Release) 500.0000 Milligram (Mg)",It Is Used In The Treatment Of Patient With Type 2 Diabetes Mellitus T2dm,03-FEB-2023,Logos Pharma
Dapagliflozin+Metformin Hcl (As Extended Release)+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 100.0000 Milligram (Mg),Metformin Hydrochloride (As Extended Release) 500.0000 Milligram (Mg)",It Is Used In The Treatment Of Patient With Type 2 Diabetes Mellitus T2dm,03-FEB-2023,Logos Pharma
Dapagliflozin+Metformin Hcl (As Extended Release)+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 50.0000 Milligram (Mg),Metformin Hydrochloride (As Extended Release) 1000.0000 Milligram (Mg)",It Is Used In The Treatment Of Patient With Type 2 Diabetes Mellitus T2dm,03-FEB-2023,Logos Pharma
Dapagliflozin+Metformin Hcl (As Extended Release)+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 100.0000 Milligram (Mg),Metformin Hydrochloride (As Extended Release) 500.0000 Milligram (Mg)",It Is Used In The Treatment Of Patient With Type 2 Diabetes Mellitus T2dm,03-FEB-2023,Logos Pharma
Dapagliflozin+Metformin Hcl (As Extended Release)+Sitagliptin,"Sitagliptin Phosphate Monohydrate Equivalent To Sitagliptin 100.0000 Milligram (Mg),Dapagliflozin 10.0000 Milligram (Mg),Metformin Hcl Equivalent To Metformin 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus,09-DEC-2022,Theon Pharmaceuticals Ltd
Dapagliflozin+Metformin Hcl (As Extended Release)+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 50.0000 Milligram (Mg),Metformin Hydrochloride (As Extended Release) 500.0000 Milligram (Mg)",It Is Used In The Treatment Of Patient With Type 2 Diabetes Mellitus T2dm,03-FEB-2023,Logos Pharma
Dapagliflozin+Metformin Hcl (As Extended Release)+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 100.0000 Milligram (Mg),Metformin Hydrochloride (As Extended Release) 1000.0000 Milligram (Mg)",It Is Used In The Treatment Of Patient With Type 2 Diabetes Mellitus T2dm,03-FEB-2023,Logos Pharma
Dapagliflozin+Metformin Hcl (As Extended Release)+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 50.0000 Milligram (Mg),Metformin Hydrochloride (As Extended Release) 1000.0000 Milligram (Mg)",It Is Used In The Treatment Of Patient With Type 2 Diabetes Mellitus T2dm,03-FEB-2023,Logos Pharma
Dapagliflozin+Metformin Hcl Ip (Sr)+Vildagliptin Ip (Sr),"Dapagliflozin 10.0000 Milligram (Mg),Metformin Hcl (Sr) 500.0000 Milligram (Mg),Vildagliptin (Sr) 100.0000 Milligram (Mg)",Patients With Type 2 Diabetes Mellitus (T2dm) Inadequately Controlled On Earlier Metformin Dual Therapy.,05-APR-2023,Mascot Health Series Pvt Ltd
Dapagliflozin+Metformin Hcl Ip (Sr)+Vildagliptin Ip (Sr),"Dapagliflozin 5.0000 Milligram (Mg),Metformin Hcl (Sr) 500.0000 Milligram (Mg),Vildagliptin (Sr) 100.0000 Milligram (Mg)",Patients With Type 2 Diabetes Mellitus (T2dm) Inadequately Controlled On Earlier Metformin Dual Therapy.,05-APR-2023,Mascot Health Series Pvt Ltd
Dapagliflozin+Metformin Hcl Ip (Sr)+Vildagliptin Ip (Sr),"Dapagliflozin 5.0000 Milligram (Mg),Metformin Hcl (Sr) 1000.0000 Milligram (Mg),Vildagliptin (Sr) 100.0000 Milligram (Mg)",Patients With Type 2 Diabetes Mellitus (T2dm) Inadequately Controlled On Earlier Metformin Dual Therapy.,05-APR-2023,Mascot Health Series Pvt Ltd
Dapagliflozin+Metformin Hcl Ip (Sr)+Vildagliptin (Sr),"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Vildagliptin 100.0000 Milligram (Mg),Metformin Hydrochloride 1000.0000 Milligram (Mg)",For The Treatment Of Patients With Type 2 Diabetes Mellitus,01-OCT-2024,Eris Lifesciences Limited
Dapagliflozin+Metformin Hcl Ip (Sr)+Vildagliptin (Sr),"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Vildagliptin 100.0000 Milligram (Mg),Metformin Hydrochloride 500.0000 Milligram (Mg)",For The Treatment Of Patients With Type 2 Diabetes Mellitus,01-OCT-2024,Eris Lifesciences Limited
Dapagliflozin+Metformin Hcl Ir Tablets,"Metformin Hydrochloride 500.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate 5.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,19-APR-2022,Sun Pharma Laboratories Limited
Dapagliflozin+Metformin Hcl Ir Tablets,"Dapagliflozin Propanediol Monohydrate 5.0000 Milligram (Mg),Metformin Hydrochloride 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,28-OCT-2021,Sun Pharma Laboratories Limited
Dapagliflozin+Metformin Hcl+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 100.0000 Milligram (Mg),Metformin Hcl Er Eq. To Metformin 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus,12-JUN-2023,Theon Pharmaceuticals Ltd
Dapagliflozin+Metformin Hcl+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 50.0000 Milligram (Mg),Metformin Hcl Er Eq. To Metformin 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus,12-JUN-2023,Theon Pharmaceuticals Ltd
Dapagliflozin+Metformin Hcl+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 50.0000 Milligram (Mg),Metformin Hcl Er Eq. To Metformin 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus,12-JUN-2023,Theon Pharmaceuticals Ltd
Dapagliflozin+Metformin Hcl Sr Tablets,"Dapagliflozin 10.0000 Milligram (Mg),Metformin Hcl Sr 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate,10-JUN-2021,Mascot Health Series Pvt Ltd
Dapagliflozin+Metformin Hcl Sr Tablets,"Dapagliflozin 10.0000 Milligram (Mg),Metformin Hcl Sr 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate,10-JUN-2021,Mascot Health Series Pvt Ltd
Dapagliflozin+Metformin Hcl Sr Tablets,"Dapagliflozin 5.0000 Milligram (Mg),Metformin Hcl Sr 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate,10-JUN-2021,Mascot Health Series Pvt Ltd
Dapagliflozin+Metformin Hcl Sr Tablets,"Dapagliflozin 5.0000 Milligram (Mg),Metformin Hcl Sr 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate,10-JUN-2021,Mascot Health Series Pvt Ltd
Dapagliflozin+Metformin Hcl+Teneligliptin,"Teneligliptin Hydrobromide Hydrate Ip Eq. To Teneligliptin 20.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Metformin Hcl Ip (Er) Eq. To Metformin 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus,30-JAN-2024,Theon Pharmaceuticals Ltd
Dapagliflozin+Metformin Hcl+Teneligliptin,"Teneligliptin Hydrobromide Hydrate Ip Eq. To Teneligliptin 20.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Metformin Hcl Ip (Er) Eq. To Metformin 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus,30-JAN-2024,Theon Pharmaceuticals Ltd
Dapagliflozin+Metformin Hcl+Teneligliptin,"Teneligliptin Hydrobromide Hydrate Ip Eq. To Teneligliptin 20.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Metformin Hcl Ip (Er) Eq. To Metformin 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus,30-JAN-2024,Theon Pharmaceuticals Ltd
Dapagliflozin+Metformin Hcl+Teneligliptin,"Teneligliptin Hydrobromide Hydrate Ip Eq. To Teneligliptin 20.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Metformin Hcl Ip (Er) Eq. To Metformin 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus,30-JAN-2024,Theon Pharmaceuticals Ltd
Dapagliflozin+Metformin Hcl+Vildagliptin,"Dapagliflozin 5.0000 Milligram (Mg),Vildagliptin 50.0000 Milligram (Mg),Metformin Hcl 500.0000 Milligram (Mg)",Management Of Type Ii Diabetes Mellitus,29-NOV-2023,USV Pvt Limited
Dapagliflozin+Metformin Hydrochloride,"Dapagliflozin 5.0000 Milligram (Mg),Metformin Hydrochloride 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,11-MAY-2020,Torrent Pharmaceuticals Ltd.
Dapagliflozin+Metformin Hydrochloride,"Dapagliflozin 5.0000 Milligram (Mg),Metformin Hydrochloride 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,11-MAY-2020,Torrent Pharmaceuticals Ltd.
Dapagliflozin+Metformin Hydrochloride,"Dapagliflozin 10.0000 Milligram (Mg),Metffomin Hydrochloride 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,11-MAY-2020,Torrent Pharmaceuticals Ltd.
Dapagliflozin+Metformin Hydrochloride,"Dapagliflozin 10.0000 Milligram (Mg),Metformin Hydrochloride 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,11-MAY-2020,Torrent Pharmaceuticals Ltd.
"Dapagliflozin+Metformin Hydrochloride Er Tablets 5mg/500mg, 5mg/1000mg,10mg/500mg & 10mg/1000mg","Dapagliflozin Propanediol Monohydrate 5.0000 Milligram (Mg),Metformin Hydrochloride 1000.0000 Milligram (Mg)",Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 D Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,15-FEB-2021,Exemed Pharmaceuticals
"Dapagliflozin+Metformin Hydrochloride Er Tablets 5mg/500mg, 5mg/1000mg,10mg/500mg & 10mg/1000mg","Dapagliflozin Propanediol Monohydrate 5.0000 Milligram (Mg),Metformin Hydrochloride 500.0000 Milligram (Mg)",Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 D Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,15-FEB-2021,Exemed Pharmaceuticals
"Dapagliflozin+Metformin Hydrochloride Er Tablets 5mg/500mg, 5mg/1000mg,10mg/500mg & 10mg/1000mg","Dapagliflozin Propanediol Monohydrate 10.0000 Milligram (Mg),Metformin Hydrochloride 1000.0000 Milligram (Mg)",Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 D Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,15-FEB-2021,Exemed Pharmaceuticals
"Dapagliflozin+Metformin Hydrochloride Er Tablets 5mg/500mg, 5mg/1000mg,10mg/500mg & 10mg/1000mg","Dapagliflozin Propanediol Monohydrate 10.0000 Milligram (Mg),Metformin Hydrochloride 500.0000 Milligram (Mg)",Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 D Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,15-FEB-2021,Exemed Pharmaceuticals
Dapagliflozin+Metformin Hydrochloride (Er) Tablets+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Equivalent To Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin Phosphate Ip Equivalent To Sitagliptin 100.0000 Milligram (Mg),Metformin Hydrochloride Ip (As An Extended Release Form) 1000.0000 Milligram (Mg)","Dapagliflozin, Sitagliptin And Metformin Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus",21-SEP-2022,Alkem Laboratories Ltd. 
Dapagliflozin+Metformin Hydrochloride (Er) Tablets+Sitagliptin,"Dapagliflozin Propanediol Monohydrate                                Equivalent To Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin Phosphate Ip                                  Equivalent To Sitagliptin 100.0000 Milligram (Mg),Metformin Hydrochloride Ip                                (As An Extended Release Form) 500.0000 Milligram (Mg)","Dapagliflozin, Sitagliptin And Metformin Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus",21-SEP-2022,Alkem Laboratories Ltd. 
Dapagliflozin+Metformin Hydrochloride (Extended Release),"Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 5.0000 Milligram (Mg),Metformin Hydrochloride (As Extended Release Form) 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,13-JUN-2022,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dapagliflozin+Metformin Hydrochloride (Extended Release),"Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 5.0000 Milligram (Mg),Metformin Hydrochloride (As Extended Release Form) 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,13-JUN-2022,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dapagliflozin+Metformin Hydrochloride (Extended Release),"Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 10.0000 Milligram (Mg),Metformin Hydrochloride (As Extended Release Form) 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,13-JUN-2022,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dapagliflozin+Metformin Hydrochloride (Extended Release),"Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 10.0000 Milligram (Mg),Metformin Hydrochloride (As Extended Release Form) 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,13-JUN-2022,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dapagliflozin+Metformin Hydrochloride ( Extended Release)+Sitagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Metformin Hydrochloride Ip (As Extended Release Form) 1000.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 50.0000 Milligram (Mg)",It Is Indicated For The Patients With Type-2 Diabetes Mellitus,24-NOV-2022,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dapagliflozin+Metformin Hydrochloride ( Extended Release)+Sitagliptin,"Metformin Hydrochloride Ip (As Extended Release Form) 500.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 50.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg)",It Is Indicated For The Patients With Type-2 Diabetes Mellitus,24-NOV-2022,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dapagliflozin+Metformin Hydrochloride ( Extended Release)+Sitagliptin,"Metformin Hydrochloride Ip (As Extended Release Form) 500.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 100.0000 Milligram (Mg)",It Is Indicated For The Patients With Type-2 Diabetes Mellitus,24-NOV-2022,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dapagliflozin+Metformin Hydrochloride ( Extended Release)+Sitagliptin,"Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 100.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Metformin Hydrochloride Ip (As Extended Release Form 1000.0000 Milligram (Mg)",It Is Indicated For The Patients With Type-2 Diabetes Mellitus,24-NOV-2022,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dapagliflozin+Metformin Hydrochloride (Extended Release)+Sitagliptin,"Sitagliptin Phosphate Monohydrate Ip Eq. To Sitagliptin 50.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Metformin Hydrochloride Ip (As Extended Release Form) 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus,24-JUL-2023,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dapagliflozin+Metformin Hydrochloride (Extended Release)+Sitagliptin,"Sitagliptin Phosphate Monohydrate Ip Eq. To Sitagliptin 50.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Metformin Hydrochloride Ip (As Extended Release Form) 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus,24-JUL-2023,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dapagliflozin+Metformin Hydrochloride Extended Release  Tablets,"Dapagliflozin 10.0000 Milligram (Mg),Metformin Hydrochloride 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,17-MAR-2022,Sun Pharma Laboratories Limited
Dapagliflozin+Metformin Hydrochloride Extended Release  Tablets,"Dapagliflozin 10.0000 Milligram (Mg),Metformin Hydrochloride 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Dapagliflozin And Metformin Is Appropriate.,17-MAR-2022,Sun Pharma Laboratories Limited
Dapagliflozin+Metformin Hydrochloride+Sitagliptin Tablets,"Dapagliflozin Propanediol Monohydrate 5.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate 50.0000 Milligram (Mg),Metformin Hydrochloride 1000.0000 Milligram (Mg)",Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus.,22-MAR-2023,Sun Pharma Laboratories Limited
Dapagliflozin+Metformin Hydrochloride+Sitagliptin Tablets,"Sitagliptin Phosphate Monohydrate 50.0000 Milligram (Mg),Metformin Hydrochloride 500.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate 5.0000 Milligram (Mg)",Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus.,22-MAR-2023,Sun Pharma Laboratories Limited
Dapagliflozin+Metformin Hydrochloride (Sr)+Teneligliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Teneligliptin Hydrobromide Hydrate Ip Eq. To Teneligliptin 20.0000 Milligram (Mg),Metformin Hydrochloride Ip (As Sustained Release) 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus,01-APR-2025,PURE & CURE HEALTHCARE Pvt. Ltd.
Dapagliflozin+Metformin Sr+Sitagliptin,"Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin 100.0000 Milligram (Mg),Metformin Hcl Sr 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus,16-AUG-2024,Eris Lifesciences Limited
Dapagliflozin+Metformin Sr+Sitagliptin,"Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin 100.0000 Milligram (Mg),Metformin Hcl Sr 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus,16-AUG-2024,Eris Lifesciences Limited
Dapagliflozin+Metoprolol Succinate (Er),"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Metoprolol Succinate Ip Eq. To Metoprolol Tartrate 25.0000 Milligram (Mg)",It Is Indicated In Patients With Heart Failure Post-Acute Myocardial Infarction,09-JAN-2026,PURE & CURE HEALTHCARE Pvt. Ltd.
Dapagliflozin+Metoprolol Succinate (Er),"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Metoprolol Succinate Ip Eq. To Metoprolol Tartrate 50.0000 Milligram (Mg)",It Is Indicated In Patients With Heart Failure Post-Acute Myocardial Infarction,09-JAN-2026,PURE & CURE HEALTHCARE Pvt. Ltd.
Dapagliflozin+Metoprolol Succinate Sr,"Dapagliflozin 5.0000 Milligram (Mg),Metoprolol Succinate Sr 25.0000 Milligram (Mg)",Indication In Patients With Heart Failure Post-Acute Myocardial Infarction.,07-AUG-2024,Eris Lifesciences Limited
Dapagliflozin+Metoprolol Succinate Sr,"Dapagliflozin 10.0000 Milligram (Mg),Metoprolol Succinate Sr 50.0000 Milligram (Mg)",Indication In Patients With Heart Failure Post-Acute Myocardial Infarction.,07-AUG-2024,Eris Lifesciences Limited
Dapagliflozin+Pioglitazone,"Dapagliflozin 10.0000 Milligram (Mg),Pioglitazone 15.0000 Milligram (Mg)",Management Of Type 2 Diabetes Mellitus,16-JUL-2025,USV Pvt Limited
Dapagliflozin+Pioglitazone,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Pioglitazone Hydrochloride Ip Eq. To Pioglitazone 15.0000 Milligram (Mg)",For The Treatment Of Patients With Type 2 Diabetes Mellitus Inadequately Controlled On Metformin Monotherapy,24-JAN-2025,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dapagliflozin Propandiol Monohydrate+Sitagliptin Phosphate Monohydrate,Sitagliptin Phosphate Monohydrate 100.0000 Milligram (Mg),It Is Indication As An Adjunct To Diet And Excercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Sitagliptin And Dapagliflozin Is Appropriate,12-JUL-2023,East African (India) Overseas (Unit-II)
Dapagliflozin Propandiol Monohydrate+Sitagliptin Phosphate Monohydrate,Dapagliflozin Propandiol Monohydrate 10.0000 Milligram (Mg),It Is Indication As An Adjunct To Diet And Excercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus When Treatment With Both Sitagliptin And Dapagliflozin Is Appropriate,12-JUL-2023,East African (India) Overseas (Unit-II)
Dapagliflozin Propanediol Eq. To Dapagliflozin 10mg+Metformin Hcl Sr 1000 Mg+Vildagliptin Sr 100mg,"Dapagliflozin Propanediol Eq. To Dapagliflozin 10.0000 Milligram (Mg),Vildagliptin Sr 100.0000 Milligram (Mg),Metformin Hcl Sr 1000.0000 Milligram (Mg)",Patients With Type 2 Diabetes Mellitus Inadequately Controlled On Earlier Metformin Dual Therapy.,03-FEB-2023,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate,Dapagliflozin Propanediol Monohydrate 98.0000 %,NA,27-DEC-2021,Sun Pharmaceutical Industries Limited
Dapagliflozin Propanediol Monohydrate 10mg/ 10mg+Glimepiride 1mg/2mg+Metformin Hydrochloride (Er) 1000mg/ 1000mg Tablets,"Dapagliflozin Propanediol Monohydrate 10.0000 Milligram (Mg),Glimepiride 2.0000 Milligram (Mg),Metformin Hydrochloride 1000.0000 Milligram (Mg)",It Is  Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus,02-JAN-2024,Windlas Biotech Limited
